session,bbid,ward,alderperson,vote
2018-2019,87,25,Shane Cohn,Did Not Vote
2018-2019,87,4,Samuel L Moore,Absent
2018-2019,87,6,Christine Ingrassia,Absent
2018-2019,87,14,Carol Howard,Absent
2018-2019,87,15,Megan E. Green,Absent
2018-2019,90,1,Sharon Tyus,Aye
2018-2019,90,2,Lisa Middlebrook,Aye
2018-2019,90,3,Brandon Bosley,Aye
2018-2019,90,5,Tammika Hubbard,Aye
2018-2019,90,8,Annie Rice,Aye
2018-2019,90,9,Dan Guenther,Aye
2018-2019,90,10,Joseph Vollmer,Aye
2018-2019,90,11,Sarah Martin,Aye
2018-2019,90,12,Larry Arnowitz,Aye
2018-2019,90,13,Beth Murphy,Aye
2018-2019,90,16,Tom Oldenburg,Aye
2018-2019,90,17,Joseph D Roddy,Aye
2018-2019,90,18,Terry Kennedy,Aye
2018-2019,90,19,Marlene E Davis,Aye
2018-2019,90,20,Cara Spencer,Aye
2018-2019,90,21,John Collins-Muhammad,Aye
2018-2019,90,22,Jeffrey L Boyd,Aye
2018-2019,90,23,Joseph Vaccaro,Aye
2018-2019,90,24,Scott Ogilvie,Aye
2018-2019,90,26,Frank Williamson,Aye
2018-2019,90,27,Pam Boyd,Aye
2018-2019,90,28,Heather Navarro,Aye
2018-2019,90,President,Lewis E Reed,Aye
2018-2019,90,7,Jack Coatar,Did Not Vote
2018-2019,90,25,Shane Cohn,Did Not Vote
2018-2019,90,4,Samuel L Moore,Absent
2018-2019,90,6,Christine Ingrassia,Absent
2018-2019,90,14,Carol Howard,Absent
2018-2019,90,15,Megan E. Green,Absent
2018-2019,32,1,Sharon Tyus,Aye
2018-2019,32,3,Brandon Bosley,Aye
2018-2019,32,6,Christine Ingrassia,Aye
2018-2019,32,8,Annie Rice,Aye
2018-2019,32,9,Dan Guenther,Aye
2018-2019,32,10,Joseph Vollmer,Aye
2018-2019,32,11,Sarah Martin,Aye
2018-2019,32,12,Larry Arnowitz,Aye
2018-2019,32,14,Carol Howard,Aye
2018-2019,32,16,Tom Oldenburg,Aye
2018-2019,32,17,Joseph D Roddy,Aye
2018-2019,32,18,Terry Kennedy,Aye
2018-2019,32,19,Marlene E Davis,Aye
2018-2019,32,21,John Collins-Muhammad,Aye
2018-2019,32,22,Jeffrey L Boyd,Aye
2018-2019,32,23,Joseph Vaccaro,Aye
2018-2019,32,24,Scott Ogilvie,Aye
2018-2019,32,25,Shane Cohn,Aye
2018-2019,32,26,Frank Williamson,Aye
2018-2019,32,28,Heather Navarro,Aye
2018-2019,32,President,Lewis E Reed,Aye
2018-2019,32,7,Jack Coatar,Did Not Vote
2018-2019,32,2,Lisa Middlebrook,Absent
2018-2019,32,4,Samuel L Moore,Absent
2018-2019,32,5,Tammika Hubbard,Absent
2018-2019,32,13,Beth Murphy,Absent
2018-2019,32,15,Megan E. Green,Absent
2018-2019,32,20,Cara Spencer,Absent
2018-2019,32,27,Pam Boyd,Absent
2018-2019,10,1,Sharon Tyus,Aye
2018-2019,10,3,Brandon Bosley,Aye
2018-2019,10,6,Christine Ingrassia,Aye
2018-2019,10,8,Annie Rice,Aye
2018-2019,10,9,Dan Guenther,Aye
2018-2019,10,10,Joseph Vollmer,Aye
2018-2019,10,11,Sarah Martin,Aye
2018-2019,10,12,Larry Arnowitz,Aye
2018-2019,10,14,Carol Howard,Aye
2018-2019,10,16,Tom Oldenburg,Aye
2018-2019,10,17,Joseph D Roddy,Aye
2018-2019,10,18,Terry Kennedy,Aye
2018-2019,10,19,Marlene E Davis,Aye
2018-2019,10,21,John Collins-Muhammad,Aye
2018-2019,10,22,Jeffrey L Boyd,Aye
2018-2019,10,23,Joseph Vaccaro,Aye
2018-2019,10,24,Scott Ogilvie,Aye
2018-2019,10,25,Shane Cohn,Aye
2018-2019,10,26,Frank Williamson,Aye
2018-2019,10,28,Heather Navarro,Aye
2018-2019,10,President,Lewis E Reed,Aye
2018-2019,10,7,Jack Coatar,Did Not Vote
2018-2019,10,2,Lisa Middlebrook,Absent
2018-2019,10,4,Samuel L Moore,Absent
2018-2019,10,5,Tammika Hubbard,Absent
2018-2019,10,13,Beth Murphy,Absent
2018-2019,10,15,Megan E. Green,Absent
2018-2019,10,20,Cara Spencer,Absent
2018-2019,10,27,Pam Boyd,Absent
2018-2019,53,1,Sharon Tyus,Aye
2018-2019,53,3,Brandon Bosley,Aye
2018-2019,53,6,Christine Ingrassia,Aye
2018-2019,53,8,Annie Rice,Aye
2018-2019,53,9,Dan Guenther,Aye
2018-2019,53,10,Joseph Vollmer,Aye
2018-2019,53,11,Sarah Martin,Aye
2018-2019,53,12,Larry Arnowitz,Aye
2018-2019,53,14,Carol Howard,Aye
2018-2019,53,16,Tom Oldenburg,Aye
2018-2019,53,17,Joseph D Roddy,Aye
2018-2019,53,18,Terry Kennedy,Aye
2018-2019,53,19,Marlene E Davis,Aye
2018-2019,53,21,John Collins-Muhammad,Aye
2018-2019,53,22,Jeffrey L Boyd,Aye
2018-2019,53,23,Joseph Vaccaro,Aye
2018-2019,53,24,Scott Ogilvie,Aye
2018-2019,53,25,Shane Cohn,Aye
2018-2019,53,26,Frank Williamson,Aye
2018-2019,53,28,Heather Navarro,Aye
2018-2019,53,President,Lewis E Reed,Aye
2018-2019,53,7,Jack Coatar,Did Not Vote
2018-2019,53,2,Lisa Middlebrook,Absent
2018-2019,53,4,Samuel L Moore,Absent
2018-2019,53,5,Tammika Hubbard,Absent
2018-2019,53,13,Beth Murphy,Absent
2018-2019,53,15,Megan E. Green,Absent
2018-2019,53,20,Cara Spencer,Absent
2018-2019,53,27,Pam Boyd,Absent
2018-2019,54,1,Sharon Tyus,Aye
2018-2019,54,3,Brandon Bosley,Aye
2018-2019,54,6,Christine Ingrassia,Aye
2018-2019,54,8,Annie Rice,Aye
2018-2019,54,9,Dan Guenther,Aye
2018-2019,54,10,Joseph Vollmer,Aye
2018-2019,54,11,Sarah Martin,Aye
2018-2019,54,12,Larry Arnowitz,Aye
2018-2019,54,14,Carol Howard,Aye
2018-2019,54,16,Tom Oldenburg,Aye
2018-2019,54,17,Joseph D Roddy,Aye
2018-2019,54,18,Terry Kennedy,Aye
2018-2019,54,19,Marlene E Davis,Aye
2018-2019,54,21,John Collins-Muhammad,Aye
2018-2019,54,22,Jeffrey L Boyd,Aye
2018-2019,54,23,Joseph Vaccaro,Aye
2018-2019,54,24,Scott Ogilvie,Aye
2018-2019,54,25,Shane Cohn,Aye
2018-2019,54,26,Frank Williamson,Aye
2018-2019,54,28,Heather Navarro,Aye
2018-2019,54,President,Lewis E Reed,Aye
2018-2019,54,7,Jack Coatar,Did Not Vote
2018-2019,54,2,Lisa Middlebrook,Absent
2018-2019,54,4,Samuel L Moore,Absent
2018-2019,54,5,Tammika Hubbard,Absent
2018-2019,54,13,Beth Murphy,Absent
2018-2019,54,15,Megan E. Green,Absent
2018-2019,54,20,Cara Spencer,Absent
2018-2019,54,27,Pam Boyd,Absent
2018-2019,55,1,Sharon Tyus,Aye
2018-2019,55,3,Brandon Bosley,Aye
2018-2019,55,6,Christine Ingrassia,Aye
2018-2019,55,8,Annie Rice,Aye
2018-2019,55,9,Dan Guenther,Aye
2018-2019,55,10,Joseph Vollmer,Aye
2018-2019,55,11,Sarah Martin,Aye
2018-2019,55,12,Larry Arnowitz,Aye
2018-2019,55,14,Carol Howard,Aye
2018-2019,55,16,Tom Oldenburg,Aye
2018-2019,55,17,Joseph D Roddy,Aye
2018-2019,55,18,Terry Kennedy,Aye
2018-2019,55,19,Marlene E Davis,Aye
2018-2019,55,21,John Collins-Muhammad,Aye
2018-2019,55,22,Jeffrey L Boyd,Aye
2018-2019,55,23,Joseph Vaccaro,Aye
2018-2019,55,24,Scott Ogilvie,Aye
2018-2019,55,25,Shane Cohn,Aye
2018-2019,55,26,Frank Williamson,Aye
2018-2019,55,28,Heather Navarro,Aye
2018-2019,55,President,Lewis E Reed,Aye
2018-2019,55,7,Jack Coatar,Did Not Vote
2018-2019,55,2,Lisa Middlebrook,Absent
2018-2019,55,4,Samuel L Moore,Absent
2018-2019,55,5,Tammika Hubbard,Absent
2018-2019,55,13,Beth Murphy,Absent
2018-2019,55,15,Megan E. Green,Absent
2018-2019,55,20,Cara Spencer,Absent
2018-2019,55,27,Pam Boyd,Absent
2018-2019,56,1,Sharon Tyus,Aye
2018-2019,56,3,Brandon Bosley,Aye
2018-2019,56,6,Christine Ingrassia,Aye
2018-2019,56,8,Annie Rice,Aye
2018-2019,56,9,Dan Guenther,Aye
2018-2019,56,10,Joseph Vollmer,Aye
2018-2019,56,11,Sarah Martin,Aye
2018-2019,56,12,Larry Arnowitz,Aye
2018-2019,56,14,Carol Howard,Aye
2018-2019,56,16,Tom Oldenburg,Aye
2018-2019,56,17,Joseph D Roddy,Aye
2018-2019,56,18,Terry Kennedy,Aye
2018-2019,56,19,Marlene E Davis,Aye
2018-2019,56,21,John Collins-Muhammad,Aye
2018-2019,56,22,Jeffrey L Boyd,Aye
2018-2019,56,23,Joseph Vaccaro,Aye
2018-2019,56,24,Scott Ogilvie,Aye
2018-2019,56,25,Shane Cohn,Aye
2018-2019,56,26,Frank Williamson,Aye
2018-2019,56,28,Heather Navarro,Aye
2018-2019,56,President,Lewis E Reed,Aye
2018-2019,56,7,Jack Coatar,Did Not Vote
2018-2019,56,2,Lisa Middlebrook,Absent
2018-2019,56,4,Samuel L Moore,Absent
2018-2019,56,5,Tammika Hubbard,Absent
2018-2019,56,13,Beth Murphy,Absent
2018-2019,56,15,Megan E. Green,Absent
2018-2019,56,20,Cara Spencer,Absent
2018-2019,56,27,Pam Boyd,Absent
2018-2019,57,1,Sharon Tyus,Aye
2018-2019,57,3,Brandon Bosley,Aye
2018-2019,57,6,Christine Ingrassia,Aye
2018-2019,57,8,Annie Rice,Aye
2018-2019,57,9,Dan Guenther,Aye
2018-2019,57,10,Joseph Vollmer,Aye
2018-2019,57,11,Sarah Martin,Aye
2018-2019,57,12,Larry Arnowitz,Aye
2018-2019,57,14,Carol Howard,Aye
2018-2019,57,16,Tom Oldenburg,Aye
2018-2019,57,17,Joseph D Roddy,Aye
2018-2019,57,18,Terry Kennedy,Aye
2018-2019,57,19,Marlene E Davis,Aye
2018-2019,57,21,John Collins-Muhammad,Aye
2018-2019,57,22,Jeffrey L Boyd,Aye
2018-2019,57,23,Joseph Vaccaro,Aye
2018-2019,57,24,Scott Ogilvie,Aye
2018-2019,57,25,Shane Cohn,Aye
2018-2019,57,26,Frank Williamson,Aye
2018-2019,57,28,Heather Navarro,Aye
2018-2019,57,President,Lewis E Reed,Aye
2018-2019,57,7,Jack Coatar,Did Not Vote
2018-2019,57,2,Lisa Middlebrook,Absent
2018-2019,57,4,Samuel L Moore,Absent
2018-2019,57,5,Tammika Hubbard,Absent
2018-2019,57,13,Beth Murphy,Absent
2018-2019,57,15,Megan E. Green,Absent
2018-2019,57,20,Cara Spencer,Absent
2018-2019,57,27,Pam Boyd,Absent
2018-2019,58,1,Sharon Tyus,Aye
2018-2019,58,3,Brandon Bosley,Aye
2018-2019,58,6,Christine Ingrassia,Aye
2018-2019,58,8,Annie Rice,Aye
2018-2019,58,9,Dan Guenther,Aye
2018-2019,58,10,Joseph Vollmer,Aye
2018-2019,58,11,Sarah Martin,Aye
2018-2019,58,12,Larry Arnowitz,Aye
2018-2019,58,14,Carol Howard,Aye
2018-2019,58,16,Tom Oldenburg,Aye
2018-2019,58,17,Joseph D Roddy,Aye
2018-2019,58,18,Terry Kennedy,Aye
2018-2019,58,19,Marlene E Davis,Aye
2018-2019,58,21,John Collins-Muhammad,Aye
2018-2019,58,22,Jeffrey L Boyd,Aye
2018-2019,58,23,Joseph Vaccaro,Aye
2018-2019,58,24,Scott Ogilvie,Aye
2018-2019,58,25,Shane Cohn,Aye
2018-2019,58,26,Frank Williamson,Aye
2018-2019,58,28,Heather Navarro,Aye
2018-2019,58,President,Lewis E Reed,Aye
2018-2019,58,7,Jack Coatar,Did Not Vote
2018-2019,58,2,Lisa Middlebrook,Absent
2018-2019,58,4,Samuel L Moore,Absent
2018-2019,58,5,Tammika Hubbard,Absent
2018-2019,58,13,Beth Murphy,Absent
2018-2019,58,15,Megan E. Green,Absent
2018-2019,58,20,Cara Spencer,Absent
2018-2019,58,27,Pam Boyd,Absent
2018-2019,59,1,Sharon Tyus,Aye
2018-2019,59,3,Brandon Bosley,Aye
2018-2019,59,6,Christine Ingrassia,Aye
2018-2019,59,8,Annie Rice,Aye
2018-2019,59,9,Dan Guenther,Aye
2018-2019,59,10,Joseph Vollmer,Aye
2018-2019,59,11,Sarah Martin,Aye
2018-2019,59,12,Larry Arnowitz,Aye
2018-2019,59,14,Carol Howard,Aye
2018-2019,59,16,Tom Oldenburg,Aye
2018-2019,59,17,Joseph D Roddy,Aye
2018-2019,59,18,Terry Kennedy,Aye
2018-2019,59,19,Marlene E Davis,Aye
2018-2019,59,21,John Collins-Muhammad,Aye
2018-2019,59,22,Jeffrey L Boyd,Aye
2018-2019,59,23,Joseph Vaccaro,Aye
2018-2019,59,24,Scott Ogilvie,Aye
2018-2019,59,25,Shane Cohn,Aye
2018-2019,59,26,Frank Williamson,Aye
2018-2019,59,28,Heather Navarro,Aye
2018-2019,59,President,Lewis E Reed,Aye
2018-2019,59,7,Jack Coatar,Did Not Vote
2018-2019,59,2,Lisa Middlebrook,Absent
2018-2019,59,4,Samuel L Moore,Absent
2018-2019,59,5,Tammika Hubbard,Absent
2018-2019,59,13,Beth Murphy,Absent
2018-2019,59,15,Megan E. Green,Absent
2018-2019,59,20,Cara Spencer,Absent
2018-2019,59,27,Pam Boyd,Absent
2018-2019,60,1,Sharon Tyus,Aye
2018-2019,60,3,Brandon Bosley,Aye
2018-2019,60,6,Christine Ingrassia,Aye
2018-2019,60,8,Annie Rice,Aye
2018-2019,60,9,Dan Guenther,Aye
2018-2019,60,10,Joseph Vollmer,Aye
2018-2019,60,11,Sarah Martin,Aye
2018-2019,60,12,Larry Arnowitz,Aye
2018-2019,60,14,Carol Howard,Aye
2018-2019,60,16,Tom Oldenburg,Aye
2018-2019,60,17,Joseph D Roddy,Aye
2018-2019,60,18,Terry Kennedy,Aye
2018-2019,60,19,Marlene E Davis,Aye
2018-2019,60,21,John Collins-Muhammad,Aye
2018-2019,60,22,Jeffrey L Boyd,Aye
2018-2019,60,23,Joseph Vaccaro,Aye
2018-2019,60,24,Scott Ogilvie,Aye
2018-2019,60,25,Shane Cohn,Aye
2018-2019,60,26,Frank Williamson,Aye
2018-2019,60,28,Heather Navarro,Aye
2018-2019,60,President,Lewis E Reed,Aye
2018-2019,60,7,Jack Coatar,Did Not Vote
2018-2019,60,2,Lisa Middlebrook,Absent
2018-2019,60,4,Samuel L Moore,Absent
2018-2019,60,5,Tammika Hubbard,Absent
2018-2019,60,13,Beth Murphy,Absent
2018-2019,60,15,Megan E. Green,Absent
2018-2019,60,20,Cara Spencer,Absent
2018-2019,60,27,Pam Boyd,Absent
2018-2019,61,1,Sharon Tyus,Aye
2018-2019,61,3,Brandon Bosley,Aye
2018-2019,61,6,Christine Ingrassia,Aye
2018-2019,61,8,Annie Rice,Aye
2018-2019,61,9,Dan Guenther,Aye
2018-2019,61,10,Joseph Vollmer,Aye
2018-2019,61,11,Sarah Martin,Aye
2018-2019,61,12,Larry Arnowitz,Aye
2018-2019,61,14,Carol Howard,Aye
2018-2019,61,16,Tom Oldenburg,Aye
2018-2019,61,17,Joseph D Roddy,Aye
2018-2019,61,18,Terry Kennedy,Aye
2018-2019,61,19,Marlene E Davis,Aye
2018-2019,61,21,John Collins-Muhammad,Aye
2018-2019,61,22,Jeffrey L Boyd,Aye
2018-2019,61,23,Joseph Vaccaro,Aye
2018-2019,61,24,Scott Ogilvie,Aye
2018-2019,61,25,Shane Cohn,Aye
2018-2019,61,26,Frank Williamson,Aye
2018-2019,61,28,Heather Navarro,Aye
2018-2019,61,President,Lewis E Reed,Aye
2018-2019,61,7,Jack Coatar,Did Not Vote
2018-2019,61,2,Lisa Middlebrook,Absent
2018-2019,61,4,Samuel L Moore,Absent
2018-2019,61,5,Tammika Hubbard,Absent
2018-2019,61,13,Beth Murphy,Absent
2018-2019,61,15,Megan E. Green,Absent
2018-2019,61,20,Cara Spencer,Absent
2018-2019,61,27,Pam Boyd,Absent
2018-2019,1,3,Brandon Bosley,Aye
2018-2019,1,5,Tammika Hubbard,Aye
2018-2019,1,6,Christine Ingrassia,Aye
2018-2019,1,7,Jack Coatar,Aye
2018-2019,1,8,Annie Rice,Aye
2018-2019,1,9,Dan Guenther,Aye
2018-2019,1,11,Sarah Martin,Aye
2018-2019,1,12,Larry Arnowitz,Aye
2018-2019,1,13,Beth Murphy,Aye
2018-2019,1,14,Carol Howard,Aye
2018-2019,1,17,Joseph D Roddy,Aye
2018-2019,1,18,Terry Kennedy,Aye
2018-2019,1,19,Marlene E Davis,Aye
2018-2019,1,20,Cara Spencer,Aye
2018-2019,1,22,Jeffrey L Boyd,Aye
2018-2019,1,23,Joseph Vaccaro,Aye
2018-2019,1,24,Scott Ogilvie,Aye
2018-2019,1,25,Shane Cohn,Aye
2018-2019,1,26,Frank Williamson,Aye
2018-2019,1,27,Pam Boyd,Aye
2018-2019,1,28,Heather Navarro,Aye
2018-2019,1,President,Lewis E Reed,Aye
2018-2019,1,1,Sharon Tyus,No
2018-2019,1,15,Megan E. Green,No
2018-2019,1,21,John Collins-Muhammad,Did Not Vote
2018-2019,1,2,Lisa Middlebrook,Absent
2018-2019,1,4,Samuel L Moore,Absent
2018-2019,1,10,Joseph Vollmer,Absent
2018-2019,1,16,Tom Oldenburg,Absent
2018-2019,68,1,Sharon Tyus,Aye
2018-2019,68,3,Brandon Bosley,Aye
2018-2019,68,5,Tammika Hubbard,Aye
2018-2019,68,6,Christine Ingrassia,Aye
2018-2019,68,7,Jack Coatar,Aye
2018-2019,68,8,Annie Rice,Aye
2018-2019,68,9,Dan Guenther,Aye
2018-2019,68,11,Sarah Martin,Aye
2018-2019,68,12,Larry Arnowitz,Aye
2018-2019,68,13,Beth Murphy,Aye
2018-2019,68,14,Carol Howard,Aye
2018-2019,68,15,Megan E. Green,Aye
2018-2019,68,17,Joseph D Roddy,Aye
2018-2019,68,18,Terry Kennedy,Aye
2018-2019,68,19,Marlene E Davis,Aye
2018-2019,68,20,Cara Spencer,Aye
2018-2019,68,22,Jeffrey L Boyd,Aye
2018-2019,68,23,Joseph Vaccaro,Aye
2018-2019,68,24,Scott Ogilvie,Aye
2018-2019,68,25,Shane Cohn,Aye
2018-2019,68,26,Frank Williamson,Aye
2018-2019,68,27,Pam Boyd,Aye
2018-2019,68,28,Heather Navarro,Aye
2018-2019,68,President,Lewis E Reed,Aye
2018-2019,68,21,John Collins-Muhammad,Abstain
2018-2019,68,2,Lisa Middlebrook,Absent
2018-2019,68,4,Samuel L Moore,Absent
2018-2019,68,10,Joseph Vollmer,Absent
2018-2019,68,16,Tom Oldenburg,Absent
2018-2019,62,1,Sharon Tyus,Aye
2018-2019,62,3,Brandon Bosley,Aye
2018-2019,62,5,Tammika Hubbard,Aye
2018-2019,62,6,Christine Ingrassia,Aye
2018-2019,62,7,Jack Coatar,Aye
2018-2019,62,8,Annie Rice,Aye
2018-2019,62,9,Dan Guenther,Aye
2018-2019,62,11,Sarah Martin,Aye
2018-2019,62,12,Larry Arnowitz,Aye
2018-2019,62,13,Beth Murphy,Aye
2018-2019,62,14,Carol Howard,Aye
2018-2019,62,15,Megan E. Green,Aye
2018-2019,62,17,Joseph D Roddy,Aye
2018-2019,62,18,Terry Kennedy,Aye
2018-2019,62,19,Marlene E Davis,Aye
2018-2019,62,20,Cara Spencer,Aye
2018-2019,62,22,Jeffrey L Boyd,Aye
2018-2019,62,23,Joseph Vaccaro,Aye
2018-2019,62,24,Scott Ogilvie,Aye
2018-2019,62,25,Shane Cohn,Aye
2018-2019,62,26,Frank Williamson,Aye
2018-2019,62,27,Pam Boyd,Aye
2018-2019,62,28,Heather Navarro,Aye
2018-2019,62,President,Lewis E Reed,Aye
2018-2019,62,21,John Collins-Muhammad,Did Not Vote
2018-2019,62,2,Lisa Middlebrook,Absent
2018-2019,62,4,Samuel L Moore,Absent
2018-2019,62,10,Joseph Vollmer,Absent
2018-2019,62,16,Tom Oldenburg,Absent
2018-2019,64,1,Sharon Tyus,Aye
2018-2019,64,3,Brandon Bosley,Aye
2018-2019,64,5,Tammika Hubbard,Aye
2018-2019,64,6,Christine Ingrassia,Aye
2018-2019,64,7,Jack Coatar,Aye
2018-2019,64,8,Annie Rice,Aye
2018-2019,64,9,Dan Guenther,Aye
2018-2019,64,11,Sarah Martin,Aye
2018-2019,64,12,Larry Arnowitz,Aye
2018-2019,64,13,Beth Murphy,Aye
2018-2019,64,14,Carol Howard,Aye
2018-2019,64,15,Megan E. Green,Aye
2018-2019,64,17,Joseph D Roddy,Aye
2018-2019,64,18,Terry Kennedy,Aye
2018-2019,64,19,Marlene E Davis,Aye
2018-2019,64,20,Cara Spencer,Aye
2018-2019,64,22,Jeffrey L Boyd,Aye
2018-2019,64,23,Joseph Vaccaro,Aye
2018-2019,64,24,Scott Ogilvie,Aye
2018-2019,64,25,Shane Cohn,Aye
2018-2019,64,26,Frank Williamson,Aye
2018-2019,64,27,Pam Boyd,Aye
2018-2019,64,28,Heather Navarro,Aye
2018-2019,64,President,Lewis E Reed,Aye
2018-2019,64,21,John Collins-Muhammad,Did Not Vote
2018-2019,64,2,Lisa Middlebrook,Absent
2018-2019,64,4,Samuel L Moore,Absent
2018-2019,64,10,Joseph Vollmer,Absent
2018-2019,64,16,Tom Oldenburg,Absent
2018-2019,65,1,Sharon Tyus,Aye
2018-2019,65,3,Brandon Bosley,Aye
2018-2019,65,5,Tammika Hubbard,Aye
2018-2019,65,6,Christine Ingrassia,Aye
2018-2019,65,7,Jack Coatar,Aye
2018-2019,65,8,Annie Rice,Aye
2018-2019,65,9,Dan Guenther,Aye
2018-2019,65,11,Sarah Martin,Aye
2018-2019,65,12,Larry Arnowitz,Aye
2018-2019,65,13,Beth Murphy,Aye
2018-2019,65,14,Carol Howard,Aye
2018-2019,65,15,Megan E. Green,Aye
2018-2019,65,17,Joseph D Roddy,Aye
2018-2019,65,18,Terry Kennedy,Aye
2018-2019,65,19,Marlene E Davis,Aye
2018-2019,65,20,Cara Spencer,Aye
2018-2019,65,22,Jeffrey L Boyd,Aye
2018-2019,65,23,Joseph Vaccaro,Aye
2018-2019,65,24,Scott Ogilvie,Aye
2018-2019,65,25,Shane Cohn,Aye
2018-2019,65,26,Frank Williamson,Aye
2018-2019,65,27,Pam Boyd,Aye
2018-2019,65,28,Heather Navarro,Aye
2018-2019,65,President,Lewis E Reed,Aye
2018-2019,65,21,John Collins-Muhammad,Did Not Vote
2018-2019,65,2,Lisa Middlebrook,Absent
2018-2019,65,4,Samuel L Moore,Absent
2018-2019,65,10,Joseph Vollmer,Absent
2018-2019,65,16,Tom Oldenburg,Absent
2018-2019,66,1,Sharon Tyus,Aye
2018-2019,66,3,Brandon Bosley,Aye
2018-2019,66,5,Tammika Hubbard,Aye
2018-2019,66,6,Christine Ingrassia,Aye
2018-2019,66,7,Jack Coatar,Aye
2018-2019,66,8,Annie Rice,Aye
2018-2019,66,9,Dan Guenther,Aye
2018-2019,66,11,Sarah Martin,Aye
2018-2019,66,12,Larry Arnowitz,Aye
2018-2019,66,13,Beth Murphy,Aye
2018-2019,66,14,Carol Howard,Aye
2018-2019,66,15,Megan E. Green,Aye
2018-2019,66,17,Joseph D Roddy,Aye
2018-2019,66,18,Terry Kennedy,Aye
2018-2019,66,19,Marlene E Davis,Aye
2018-2019,66,20,Cara Spencer,Aye
2018-2019,66,22,Jeffrey L Boyd,Aye
2018-2019,66,23,Joseph Vaccaro,Aye
2018-2019,66,24,Scott Ogilvie,Aye
2018-2019,66,25,Shane Cohn,Aye
2018-2019,66,26,Frank Williamson,Aye
2018-2019,66,27,Pam Boyd,Aye
2018-2019,66,28,Heather Navarro,Aye
2018-2019,66,President,Lewis E Reed,Aye
2018-2019,66,21,John Collins-Muhammad,Did Not Vote
2018-2019,66,2,Lisa Middlebrook,Absent
2018-2019,66,4,Samuel L Moore,Absent
2018-2019,66,10,Joseph Vollmer,Absent
2018-2019,66,16,Tom Oldenburg,Absent
2018-2019,70,1,Sharon Tyus,Aye
2018-2019,70,3,Brandon Bosley,Aye
2018-2019,70,5,Tammika Hubbard,Aye
2018-2019,70,6,Christine Ingrassia,Aye
2018-2019,70,7,Jack Coatar,Aye
2018-2019,70,8,Annie Rice,Aye
2018-2019,70,9,Dan Guenther,Aye
2018-2019,70,11,Sarah Martin,Aye
2018-2019,70,12,Larry Arnowitz,Aye
2018-2019,70,13,Beth Murphy,Aye
2018-2019,70,14,Carol Howard,Aye
2018-2019,70,15,Megan E. Green,Aye
2018-2019,70,17,Joseph D Roddy,Aye
2018-2019,70,18,Terry Kennedy,Aye
2018-2019,70,19,Marlene E Davis,Aye
2018-2019,70,20,Cara Spencer,Aye
2018-2019,70,22,Jeffrey L Boyd,Aye
2018-2019,70,23,Joseph Vaccaro,Aye
2018-2019,70,24,Scott Ogilvie,Aye
2018-2019,70,25,Shane Cohn,Aye
2018-2019,70,26,Frank Williamson,Aye
2018-2019,70,27,Pam Boyd,Aye
2018-2019,70,28,Heather Navarro,Aye
2018-2019,70,President,Lewis E Reed,Aye
2018-2019,70,21,John Collins-Muhammad,Did Not Vote
2018-2019,70,2,Lisa Middlebrook,Absent
2018-2019,70,4,Samuel L Moore,Absent
2018-2019,70,10,Joseph Vollmer,Absent
2018-2019,70,16,Tom Oldenburg,Absent
2018-2019,74,1,Sharon Tyus,Aye
2018-2019,74,3,Brandon Bosley,Aye
2018-2019,74,5,Tammika Hubbard,Aye
2018-2019,74,6,Christine Ingrassia,Aye
2018-2019,74,7,Jack Coatar,Aye
2018-2019,74,8,Annie Rice,Aye
2018-2019,74,9,Dan Guenther,Aye
2018-2019,74,11,Sarah Martin,Aye
2018-2019,74,12,Larry Arnowitz,Aye
2018-2019,74,13,Beth Murphy,Aye
2018-2019,74,14,Carol Howard,Aye
2018-2019,74,15,Megan E. Green,Aye
2018-2019,74,17,Joseph D Roddy,Aye
2018-2019,74,18,Terry Kennedy,Aye
2018-2019,74,19,Marlene E Davis,Aye
2018-2019,74,20,Cara Spencer,Aye
2018-2019,74,22,Jeffrey L Boyd,Aye
2018-2019,74,23,Joseph Vaccaro,Aye
2018-2019,74,24,Scott Ogilvie,Aye
2018-2019,74,25,Shane Cohn,Aye
2018-2019,74,26,Frank Williamson,Aye
2018-2019,74,27,Pam Boyd,Aye
2018-2019,74,28,Heather Navarro,Aye
2018-2019,74,President,Lewis E Reed,Aye
2018-2019,74,21,John Collins-Muhammad,Did Not Vote
2018-2019,74,2,Lisa Middlebrook,Absent
2018-2019,74,4,Samuel L Moore,Absent
2018-2019,74,10,Joseph Vollmer,Absent
2018-2019,74,16,Tom Oldenburg,Absent
2018-2019,76,1,Sharon Tyus,Aye
2018-2019,76,3,Brandon Bosley,Aye
2018-2019,76,5,Tammika Hubbard,Aye
2018-2019,76,6,Christine Ingrassia,Aye
2018-2019,76,7,Jack Coatar,Aye
2018-2019,76,8,Annie Rice,Aye
2018-2019,76,9,Dan Guenther,Aye
2018-2019,76,11,Sarah Martin,Aye
2018-2019,76,12,Larry Arnowitz,Aye
2018-2019,76,13,Beth Murphy,Aye
2018-2019,76,14,Carol Howard,Aye
2018-2019,76,15,Megan E. Green,Aye
2018-2019,76,17,Joseph D Roddy,Aye
2018-2019,76,18,Terry Kennedy,Aye
2018-2019,76,19,Marlene E Davis,Aye
2018-2019,76,20,Cara Spencer,Aye
2018-2019,76,22,Jeffrey L Boyd,Aye
