unique_id,session,bbid,sponsor,date of vote, title, url
2016-2017-215,2016-2017,215,Joseph Vollmer,01/27/2017,Zoning change for 5006-30 Daggett,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10663
2016-2017-228,2016-2017,228,Joseph Vollmer,01/27/2017,Redevelopment plan for 5006-5030 Daggett,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10676
2016-2017-98,2016-2017,98,Jeffrey L Boyd,01/20/2017,Ordinance pertaining to court fees,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10545
2016-2017-201,2016-2017,201,Marlene E Davis,01/20/2017,Ordinance designating 2800 block of Cool Papa Bell as Pastor Jerry Hodges Street,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10649
2016-2017-202,2016-2017,202,Marlene E Davis,01/20/2017,Ordinance designating 2800 block of Finney as Rev. Dr. Jimmy L. Brown St.,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10650
2016-2017-206,2016-2017,206,Joseph Vaccaro,01/20/2017,Ordinance establishing a stop site on Mardel Avenue,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10654
2016-2017-156,2016-2017,156,Stephen Conway,01/06/2017,Redevelopment plan for 4050 Detonty,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10603
2016-2017-61,2016-2017,61,Tammika Hubbard,01/06/2017,Redevelopment plan for 1501-09 Washington,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10508
2016-2017-198,2016-2017,198,Joseph D Roddy,01/06/2017,Ordinance approving the use of TIF for City Foundry St. Louis,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10646
2016-2017-199,2016-2017,199,Joseph D Roddy,01/06/2017,Redevelopment agreement for City Foundry TIF,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10647
2016-2017-101,2016-2017,101,Lyda Krewson,12/16/2016,Quit Claim Deed 6001-7 Persing Avenue,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10548
2016-2017-121,2016-2017,121,Joseph D Roddy,12/16/2016,Amending redevelopment plan for Chouteau/Sarah/Papin/,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10568
2016-2017-154,2016-2017,154,Stephen Conway,12/16/2016,Redevelopment plan for 3530 Wyoming,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10601
2016-2017-157,2016-2017,157,Kenneth Ortmann,12/16/2016,Redevelopment plan for 3442 Missouri,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10604
2016-2017-158,2016-2017,158,Kenneth Ortmann,12/16/2016,Redevelopment plan for 3006 Missouri,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10605
2016-2017-159,2016-2017,159,Kenneth Ortmann,12/16/2016,Redevelopment plan for 2861 Lemp,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10606
2016-2017-168,2016-2017,168,Freeman M Bosley Sr.,12/16/2016,99 year lease for 1901 Penrose to Sun Ministries,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10615
2016-2017-175,2016-2017,175,Joseph D Roddy,12/16/2016,Redevelopment plan for 4398 Chouteau,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10623
2016-2017-176,2016-2017,176,Joseph D Roddy,12/16/2016,Redevelopment plan for 916-26 Talmage & 4307 Chouteau,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10624
2016-2017-177,2016-2017,177,Jack Coatar,12/16/2016,Redevelopment plan for 501-09 Olive & 303 N. Broadway,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10625
2016-2017-178,2016-2017,178,Cara Spencer,12/16/2016,Redevelopment plan for 2920 Cherokee,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10626
2016-2017-180,2016-2017,180,Scott Ogilvie,12/16/2016,Redevelopment plan for 6654-56 Mitchell,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10628
2016-2017-193,2016-2017,193,Shane Cohn,12/16/2016,Redevelopment plan for 3400 Meramec,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10641
2016-2017-194,2016-2017,194,Kenneth Ortmann,12/16/2016,Redevelopment plan for 2901-2909 Indiana,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10642
2016-2017-172,2016-2017,172,Jack Coatar,12/16/2016,Ordinance amending development agreement regarding Ballpark Village,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10620
2016-2017-197,2016-2017,197,Marlene E Davis,12/16/2016,St. Louis Midtown Redevelopment Plan,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10645
2016-2017-153,2016-2017,153,Lyda Krewson,12/09/2016,luggage cart rental concession agrmt,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10600
2016-2017-185,2016-2017,185,Lyda Krewson,12/09/2016,Authorizing transfer from Airport's Debt Service Stabilization Fund,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10633
2016-2017-186,2016-2017,186,Lyda Krewson,12/09/2016,Ordinance establishing airfield building and environs project,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10634
2016-2017-187,2016-2017,187,Lyda Krewson,12/09/2016,Ordinance authorizing project for Lambert Airport road traffic flow,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10635
2016-2017-188,2016-2017,188,Lyda Krewson,12/09/2016,First amendment to Wine Concession Agreement,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10636
2016-2017-63,2016-2017,63,Antonio D French,12/02/2016,Fiscal Note Bill,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10510
2016-2017-182,2016-2017,182,Joseph D Roddy,12/02/2016,Ordinance to terminate Grand & Shenandoah TIF,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10630
2016-2017-183,2016-2017,183,Joseph D Roddy,12/02/2016,Ordinance to terminate LaSalle & N. Kingshighway TIF,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10631
2016-2017-184,2016-2017,184,Joseph D Roddy,12/02/2016,Ordinance terminating a Modesta Development Plan,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10632
2016-2017-160,2016-2017,160,Joseph Vollmer,11/18/2016,Amending Northeast Hampton I-44 TIF,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10607
2016-2017-179,2016-2017,179,Marlene E Davis,11/18/2016,Liquor moratorium in 19th Ward,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10627
2016-2017-181,2016-2017,181,Terry Kennedy,11/18/2016,Ordinance prohibiting liquor in 18th Ward,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10629
2016-2017-169,2016-2017,169,Dionne Flowers,11/18/2016,Raising the age to 21 for sales of nicotine products,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10616
2016-2017-170,2016-2017,170,Dionne Flowers,11/18/2016,Raising the age to 21 for sales of alternative nicotine products,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10617
2016-2017-132,2016-2017,132,Stephen Conway,11/10/2016,Establishing a public works project for Tower Grove Pk Neighborhood Access Enhancement,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10579
2016-2017-147,2016-2017,147,Stephen Conway,11/10/2016,Street name change to Barbara Beck Blvd,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10594
2016-2017-148,2016-2017,148,Stephen Conway,11/10/2016,Street name change to George and Sandy Grbac Lane,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10595
2016-2017-162,2016-2017,162,Freeman M Bosley Sr.,11/10/2016,Loan agreement to fund Energy Loan Program,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10609
2016-2017-166,2016-2017,166,Kenneth Ortmann,11/10/2016,Closing Mt. Pleasant at west side of Broadway,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10613
2016-2017-167,2016-2017,167,Kenneth Ortmann,11/10/2016,Establishing a 4-way stop at Nebraska and Itaska,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10614
2016-2017-69,2016-2017,69,Cara Spencer,11/10/2016,Short-Term Lending Code,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10516
2016-2017-70,2016-2017,70,Cara Spencer,11/10/2016,Election Approving Permit Fees for Short-Term Loan Establishments,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10517
2016-2017-146,2016-2017,146,Dionne Flowers,11/04/2016,Grant for continuum of care homeless assistance,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10593
2016-2017-151,2016-2017,151,Megan E. Green,11/04/2016,Amending Public Nuisances Code,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10598
2016-2017-107,2016-2017,107,Marlene E Davis,10/28/2016,CHAPTER	353,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10554
2016-2017-149,2016-2017,149,Tammika Hubbard,10/28/2016,Greenleaf TIF note,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10596
