session,bbid,sponsor,date of vote, title, url
2018-2019,57,Terry Kennedy,07/06/2018,2018 International Property Maintenance Code with amendments;,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=11117
2018-2019,58,Terry Kennedy,07/06/2018,2018 International Energy Conservation Code with amendments,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=11118
2018-2019,59,Terry Kennedy,07/06/2018,Mechanical Code,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=11119
2018-2019,60,Terry Kennedy,07/06/2018,2018 International Fuel Gas Code with amendments,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=11120
2018-2019,61,Terry Kennedy,07/06/2018,2017 National Electrical Code with amendments;,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=11121
2018-2019,1,Lewis E Reed,06/29/2018,Budget Fiscal Year 2018-2019; and containing an emergency clause.,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=11106
2018-2019,68,Sharon Tyus,06/29/2018,Civil Service employees Compensation Bill.,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=11128
2018-2019,62,Heather Navarro,06/29/2018,Prohibiting the issuance of any 3 a.m. closing permits for any currently non-3am licensed premises within the boundaries of the Twenty-Eighth Ward Liquor Control District,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=11122
2018-2019,64,Frank Williamson,06/29/2018,An Ordinance pertaining to the Transit Sales Tax imposed pursuant to Section 94.660 RSMo. as adopted and approved by the voters of St. Louis City on August 2 1994 pursuant to Ordinance 63168 creating the “City Public Transit Sales Tax Trust Fund”,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=11124
2018-2019,65,Frank Williamson,06/29/2018,Ordinance pertaining to the Transit Sales Tax imposed pursuant to Section 94.660 RSMo. creating the “City Public Transit Sales Tax Trust Fund”,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=11125
2018-2019,66,Frank Williamson,06/29/2018,Transportation Trust Fund” to the Bi-State Development Agency for transportation purposes;,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=11126
2018-2019,70,Heather Navarro,06/29/2018,First Amendment of the Lease Agreement authorized by Ordinance 63956 between the City and the Municipal Theatre Association,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=11129
2018-2019,74,Marlene E Davis,06/29/2018,establishing and authorizing a public works and improvement program (the “Airfield Building & Environs Projects”) at St. Louis Lambert International Airport® (the,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=11134
2018-2019,76,Tammika Hubbard,06/29/2018,An ordinance recommended by the Planning Commission approving the name of a new public street located in the approved Jonas Hubbard Estates subdivision located in City Block 552.,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=11136
2018-2019,77,Frank Williamson,06/29/2018,An ordinance recommended by the Board of Estimate and Apportionment  authorizing a supplemental appropriation; amending Ordinance 70540 commonly referred to as the City of St. Louis Annual Operating Plan for Fiscal Year 2017 2018,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=11137
2018-2019,86,Marlene E Davis,06/29/2018,Pursuant to Ordinance 68937 an ordinance authorizing the honorary street name Urban League Square which shall begin at the intersection of North Spring Avenue and Grandel Square and run East on Grandel Square to North Grand Boulevard.,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=11146
